danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,song_uri,name,mode_major,mode_minor
0.825,0.672,0,-7.108,0.418,0.0858,0.0,0.123,0.246,147.01,4,7wTA0NKIm6T7nP2kaymU2a,Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba),1,0
0.924,0.385,1,-7.049,0.185,0.187,0.0,0.132,0.39,129.976,4,3pZO6GoVPeSYDxxsH6vCdj,Sunset (with J. Cole feat. Young Nudy),1,0
0.636,0.8,11,-4.265,0.347,0.337,0.0,0.39,0.704,88.657,4,6n3q5ybuUQFT97ddyuxsFh,Sleep Deprived (with Lute & Omen feat. Mez & DaVionne),0,1
0.507,0.545,2,-7.209,0.43,0.25,0.0,0.239,0.392,78.461,4,03XfngWwNfhEjrnEga73Rg,"Swivel (with EARTHGANG) - From The Upcoming Album ""Mirrorland""",1,0
0.678,0.695,10,-5.323,0.286,0.0485,0.0,0.254,0.242,135.044,4,1OS9fNE87zO4Z696lBXriv,LamboTruck (with Cozz feat. REASON & Childish Major),0,1
0.691,0.64,0,-6.441,0.369,0.511,0.0,0.409,0.163,138.672,4,6MF4tRr5lU8qok8IKaFOBE,Under The Sun (with J. Cole & Lute feat. DaBaby),1,0
0.655,0.617,10,-7.12,0.134,0.00113,0.0,0.11,0.19,150.092,4,5hXqurVR1oeDhMjDDtxPNa,Melee,0,1
0.312,0.614,8,-6.073,0.0466,0.0589,0.0,0.0898,0.356,205.379,4,0TqaX16qLpX7YqFcAl9lDy,superstars,1,0
0.451,0.675,8,-5.522,0.0911,0.294,0.0,0.103,0.269,138.942,4,4M16nvTxhR9VCrfj1JMc6I,Dying Alive,1,0
0.516,0.519,10,-8.1,0.0358,0.254,0.0,0.106,0.143,120.094,4,6RMryEPk1eidOmUwGuMUIV,heavy snow,0,1
0.398,0.499,5,-10.678,0.0689,0.0681,0.000188,0.0819,0.33,84.042,4,6nCKkDLTbEEPcwG0TCgaM9,More Colors (feat. Chelsea Cutler),1,0
0.497,0.456,2,-7.453,0.0907,0.151,1.21e-06,0.0976,0.358,162.863,4,6dNeDBEc8g73FujFvrdf2Q,AF1s,1,0
0.635,0.304,9,-10.24,0.0334,0.896,0.0,0.299,0.353,99.882,4,2ou8RbZfSnESGe9YYC7xJ4,Snow In October,0,1
0.676,0.5,8,-6.878,0.0412,0.701,0.0,0.596,0.915,97.863,4,0VpD9PFYIPQAW4bKiGXv8Q,Love Is Alive,1,0
0.679,0.645,6,-7.777,0.222,0.0518,0.0,0.145,0.203,125.795,4,0aMHIW1lqrulVCx0LLlr6a,Cocoa Butter Kisses,0,1
0.531,0.675,0,-3.281,0.33,0.121,0.0,0.327,0.799,177.953,4,5X3VpTYsESWoh80dMa60jd,The City (with Quinn XCII),1,0
0.566,0.755,11,-5.526,0.0368,0.0338,0.0,0.315,0.445,101.006,4,4Sfa7hdVkqlM8UW5LsSY3F,Take a Walk,1,0
0.911,0.587,0,-5.351,0.247,0.0882,2.22e-06,0.149,0.743,96.959,4,2TpZlmChocrfeL5J6ed70t,Kingdom Come,1,0
0.464,0.371,2,-7.348,0.0319,0.394,1.11e-06,0.0956,0.331,138.898,4,7KucgC6JOASHQ0qDtKeomv,To My Future Wife...,1,0
0.511,0.363,4,-7.65,0.041,0.816,0.0317,0.084,0.169,144.892,4,7hDVYcQq6MxkdJGweuCtl9,ocean eyes,0,1
0.568,0.879,7,-3.965,0.421,0.272,0.0,0.192,0.24,152.118,4,06P0q7wYr1S1fqrkewX03G,When The Lions Come,1,0
0.786,0.75,5,-5.137,0.0496,0.213,5.62e-06,0.0869,0.656,119.967,4,6p9vTtbwiVHMahR5UwNI7k,Ungrateful Eyes,1,0
0.568,0.77,9,-6.375,0.632,0.528,0.0,0.154,0.276,77.728,4,4haHhBncdQplfOJM0EyfEG,Spectacular Now,0,1
0.555,0.649,7,-6.756,0.0284,0.274,0.0,0.301,0.581,78.994,4,0pghPocTwFg6ckBUs52SQ8,Good Lord Lorrie,1,0
0.652,0.53,7,-4.744,0.0497,0.134,0.0,0.137,0.335,122.028,3,0XA9B3KXLmdgaQ2KcIJa3h,The Good In Me,0,1
0.507,0.461,6,-7.761,0.128,0.0288,0.0,0.0483,0.665,136.219,3,5KSNxyuyp5K1kDT6LvX8oZ,80's Films,1,0
0.365,0.613,5,-4.847,0.0682,0.451,0.0,0.0752,0.439,139.659,3,6dVcavGKwvUjk998frTljW,Weight Of The World,1,0
0.67,0.393,9,-9.158,0.122,0.0159,0.000307,0.104,0.193,77.461,4,5CgFGKdTn8R5dXGEPEX6Gm,Luxury,1,0
0.555,0.328,6,-8.569,0.09,0.841,0.0,0.0971,0.294,79.454,1,647YDaQTk75guVjjMQQJt0,A Haunted House,1,0
0.752,0.743,10,-6.161,0.299,0.281,2.45e-06,0.543,0.485,89.065,4,0i4Zkb6Ts5JqLJIAMNzSSl,Pre-Occupied,1,0
0.542,0.906,9,-4.213,0.0491,0.021,0.00043,0.377,0.515,120.014,4,6CES1554HcWMIVroJfmmBm,Way It Goes,1,0
0.623,0.763,9,-4.412,0.0719,0.199,6.52e-06,0.126,0.199,108.871,4,6iCJCZqDJjmBxt07Oid6FI,Buttercup,1,0
0.359,0.713,5,-4.526,0.0366,0.33,0.0,0.324,0.272,61.519,4,05sCp83gcMm1iecYydKJS3,Let's Hurt Tonight,1,0
0.642,0.91,10,-4.033,0.127,0.0381,0.000127,0.412,0.519,103.127,4,4NzZbRu1J9V5KrH2ZFs3O4,Western Kids,1,0
0.721,0.0813,10,-14.856,0.0368,0.936,1.39e-05,0.118,0.9,82.008,4,2x5SB1jeGCtE6SOy69NdZT,Brown Eyed Girl,1,0
0.592,0.475,7,-11.09,0.0727,0.822,0.000969,0.122,0.369,178.093,4,1PsMieVYFXrSeXMxuE2SbG,Must Have Been The Wind,1,0
0.542,0.435,10,-7.216,0.0458,0.628,0.0,0.139,0.299,108.215,4,3hwGJn49kUbDP2gIgXHPKE,Divide,0,1
0.55,0.468,0,-7.608,0.0425,0.054,0.00108,0.232,0.293,92.06,4,3a1DVjwshmHW9DR7pJMTaR,Find,1,0
0.629,0.662,4,-5.581,0.0939,0.303,0.0,0.0762,0.45,82.368,4,7zGEU6BXl2c4TxpzIAr7BI,Never Leave Me (feat. Joe Janiak),1,0
0.405,0.576,8,-6.245,0.171,0.225,8.08e-06,0.0822,0.695,91.204,4,6NVjujGb9fnl25fjzm5dTy,Freak (feat. Bonn),1,0
0.648,0.554,9,-7.005,0.0341,0.329,2.56e-05,0.0803,0.372,98.045,4,6EBlOYNcZ8MrdEov9lEdV6,Hold The Line (feat. A R I Z O N A),1,0
0.454,0.423,9,-7.286,0.0552,0.544,0.0,0.0538,0.245,170.162,4,3MhNgzZwFtUF6jSr6pRSkW,Ain't A Thing (feat. Bonn),1,0
0.745,0.637,0,-5.959,0.0512,0.656,6.5e-06,0.0993,0.446,89.995,4,0HZgYFimoJG9Ijy8InUWcV,Bad Reputation (feat. Joe Janiak),1,0
0.795,0.496,0,-5.883,0.0722,0.108,0.0,0.0645,0.874,94.01,4,0DiDStADDVh3SvAsoJAFMk,Only Human,1,0
0.76,0.83,6,-6.868,0.28,0.639,0.0,0.109,0.907,93.401,4,0U9a0NZ8UQpnix2lBElFAx,Ladki Kyon,0,1
0.734,0.429,7,-6.511,0.16,0.305,0.0,0.0659,0.372,83.022,4,1ysAvOdJgUjc6CqOQxepaz,Money Made Me Do It,1,0
